Sample,X(ms) [01.01.2012 00:40:29 721 UTC],"InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.x","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.y","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.a","frontPGV.xPosition","InstAGV.instMoveCtrlDiff.vCurrent.x","InstAGV.instMoveCtrlDiff.vCurrent.a"
9,1325378429821.374088,0,4,-0.79998779296875,10495,298.111785888672,-0.0420454517006874
10,1325378429831.350104,0,4.09999990463257,-0.79998779296875,10497.9,298.111785888672,-0.0420454517006874
11,1325378429841.424648,0,4.30000019073486,-0.600006103515625,10504.1,299.168487548828,-0.924999952316284
12,1325378429851.373048,0,4.30000019073486,-0.600006103515625,10507.1,299.168487548828,-0.924999952316284
13,1325378429861.374968,0,4.30000019073486,-0.600006103515625,10510.1,300.812286376953,-0.672727227210999
14,1325378429874.979912,0,4.40000009536743,-0.600006103515625,10513.1,300.460021972656,0.294318199157715
15,1325378429881.346616,0,4.59999990463257,-0.899993896484375,10512.9,301.634155273438,-1.05113637447357
16,1325378429891.454872,0,4.59999990463257,-0.899993896484375,10515.8,301.634155273438,-1.05113637447357
17,1325378429901.409480,0,4.59999990463257,-0.899993896484375,10518.8,299.872985839844,-0.58863639831543
18,1325378429911.355768,0,4.69999980926514,-0.899993896484375,10521.7,300.107788085938,-0.672727227210999
19,1325378429921.440664,0,4.59999990463257,-0.29998779296875,10524.9,296.585418701172,0.420454531908035
20,1325378429931.424528,0,4.59999990463257,-0.29998779296875,10527.8,299.051086425781,-0.294318199157715
21,1325378429941.390984,0,4.59999990463257,-0.29998779296875,10530.8,297.407287597656,0.294318199157715
22,1325378429951.376400,0,4.69999980926514,-0.20001220703125,10533.7,300.342620849609,-0.504545450210571
23,1325378429961.330080,0,4.40000009536743,-0.79998779296875,10537.5,302.221221923828,0.58863639831543
24,1325378429975.004152,0,4.40000009536743,-0.79998779296875,10540.5,301.986419677734,-0.756818234920502
25,1325378429981.391464,0,4.40000009536743,-0.79998779296875,10543.6,301.751586914063,-0.756818234920502
