Sample,X(ms) [01.01.2012 00:42:33 746 UTC],"InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.x","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.y","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.a","frontPGV.xPosition","InstAGV.instMoveCtrlDiff.vCurrent.x","InstAGV.instMoveCtrlDiff.vCurrent.a"
9,1325378553841.353128,0,5.30000019073486,-0.600006103515625,11031,296.937652587891,0.126136362552643
10,1325378553851.419640,0,5.09999990463257,-0.29998779296875,11034.1,295.059020996094,0.0420454517006874
11,1325378553861.439464,0,5.09999990463257,-0.29998779296875,11037,295.059020996094,0.0420454517006874
12,1325378553875.031872,0,5.09999990463257,-0.29998779296875,11040,300.812286376953,-1.26136350631714
13,1325378553881.368576,0,5.09999990463257,-0.20001220703125,11043,299.4033203125,0.924999952316284
14,1325378553891.386008,0,4.90000009536743,-0.70001220703125,11045.3,299.4033203125,0.924999952316284
15,1325378553901.335512,0,4.90000009536743,-0.70001220703125,11048.2,298.698852539063,0.336363613605499
16,1325378553911.467736,0,4.90000009536743,-0.70001220703125,11051.2,301.634155273438,-0.630681753158569
17,1325378553921.421832,0,4.90000009536743,-0.70001220703125,11054.1,299.638153076172,-0.252272725105286
18,1325378553931.376304,0,4.90000009536743,-1.10000610351563,11057.2,299.872985839844,0.336363613605499
19,1325378553941.367896,0,4.90000009536743,-1.10000610351563,11060.1,300.342620849609,-0.672727227210999
20,1325378553951.327696,0,4.90000009536743,-1.10000610351563,11063.1,300.107788085938,-0.252272725105286
21,1325378553961.371016,0,4.90000009536743,-1.10000610351563,11066,298.464019775391,-0.58863639831543
22,1325378553974.986424,0,4.90000009536743,-0.899993896484375,11069.1,297.759521484375,-0.756818234920502
23,1325378553981.338984,0,4.90000009536743,-0.899993896484375,11072.1,300.225219726563,-1.05113637447357
24,1325378553991.406600,0,4.90000009536743,-0.899993896484375,11075,300.225219726563,-1.05113637447357
25,1325378554001.336600,0,4.90000009536743,-0.899993896484375,11078,298.816253662109,-1.05113637447357
26,1325378554011.372664,0,5,-1,11080.7,299.168487548828,-0.420454531908035
27,1325378554021.368832,0,5,-1,11083.6,299.168487548828,-0.420454531908035
28,1325378554031.355736,0,5,-1,11086.6,302.573486328125,-0.967045426368713
29,1325378554041.352320,0,5,-1,11089.5,299.168487548828,-0.840909063816071
30,1325378554051.336880,0,5,-1.39999389648438,11092.5,301.868988037109,-0.967045426368713
31,1325378554061.402536,0,5,-1.39999389648438,11095.5,298.581420898438,-0.294318199157715
32,1325378554075.002512,0,5,-1.5,11098.4,298.581420898438,-0.294318199157715
33,1325378554081.400832,0,5,-1.5,11101.4,299.638153076172,-0.336363613605499
34,1325378554091.383744,0,5.30000019073486,-0.5,11104.2,299.638153076172,-0.336363613605499
35,1325378554101.321912,0,5.30000019073486,-0.5,11107.2,299.990386962891,-0.378409117460251
36,1325378554111.376544,0,5.30000019073486,-0.5,11110.1,298.229187011719,-1.26136350631714
37,1325378554121.374504,0,5.30000019073486,-0.399993896484375,11113,304.452087402344,0.294318199157715
38,1325378554131.368792,0,5.30000019073486,-1.39999389648438,11116.1,304.452087402344,0.294318199157715
39,1325378554141.304304,0,5.30000019073486,-1.39999389648438,11119,295.176452636719,-0.756818234920502
40,1325378554151.432600,0,5.40000009536743,-1.5,11122,297.172485351563,-0.126136362552643
41,1325378554161.369408,0,5.40000009536743,-1.5,11124.9,297.172485351563,-0.126136362552643
42,1325378554175.018944,0,5.69999980926514,-0.600006103515625,11127.9,296.820220947266,-1.09318172931671
43,1325378554181.339680,0,5.69999980926514,-0.600006103515625,11130.8,301.751586914063,-3.44772720336914
44,1325378554191.497712,0,5.69999980926514,-0.600006103515625,11133.7,305.039154052734,-1.17727279663086
45,1325378554201.305304,0,5.69999980926514,-0.600006103515625,11136.7,305.039154052734,-1.17727279663086
46,1325378554211.437528,0,6.19999980926514,-0.70001220703125,11139.2,303.160522460938,-0.924999952316284
47,1325378554221.328864,0,6.30000019073486,-0.70001220703125,11142.2,303.160522460938,-0.924999952316284
48,1325378554231.320544,0,6.30000019073486,-0.70001220703125,11145.1,301.986419677734,2.85909104347229
49,1325378554241.371304,0,6.40000009536743,-0.70001220703125,11148,301.047088623047,-1.513636469841
50,1325378554251.326552,0,6.30000019073486,-0.29998779296875,11151.7,300.107788085938,0
